Federal subject,City
Moscow Oblast,Domodedovo
Rostov Oblast,Donetsk
Tula Oblast,Donskoy
Smolensk Oblast,Dorogobuzh
Moscow Oblast,Drezna
Moscow Oblast,Dubna
Volgograd Oblast,Dubovka
Krasnoyarsk Krai,Dudinka
Smolensk Oblast,Dukhovshchina
Bryansk Oblast,Dyatkovo
Republic of Bashkortostan,Dyurtyuli
Nizhny Novgorod Oblast,Dzerzhinsk
Moscow Oblast,Dzerzhinsky
Moscow Oblast,Elektrogorsk
Moscow Oblast,Elektrostal
Moscow Oblast,Elektrougli
Kalmykia,Elista
Saratov Oblast,Engels
Voronezh Oblast,Ertil
Kursk Oblast,Fatezh
Bryansk Oblast,Fokino
Primorsky Krai,Fokino
Volgograd Oblast,Frolovo
Moscow Oblast,Fryazino
Ivanovo Oblast,Furmanov
Murmansk Oblast,Gadzhiyevo
Smolensk Oblast,Gagarin
Kostroma Oblast,Galich
Leningrad Oblast,Gatchina
Ivanovo Oblast,Gavrilov Posad
Yaroslavl Oblast,Gavrilov-Yam
Orenburg Oblast,Gay
Pskov Oblast,Gdov
Krasnodar Krai,Gelendzhik
Stavropol Krai,Georgiyevsk
Udmurtia,Glazov
Moscow Oblast,Golitsyno
Nizhny Novgorod Oblast,Gorbatov
Altai Republic,Gorno-Altaysk
Perm Krai,Gornozavodsk
Altai Krai,Gornyak
Nizhny Novgorod Oblast,Gorodets
Penza Oblast,Gorodishche
Kalmykia,Gorodovikovsk
Vladimir Oblast,Gorokhovets
Krasnodar Krai,Goryachy Klyuch
Belgorod Oblast,Grayvoron
Perm Krai,Gremyachinsk
Chechen Republic,Grozny
Lipetsk Oblast,Gryazi
Vologda Oblast,Gryazovets
Perm Krai,Gubakha
Belgorod Oblast,Gubkin
Yamalo-Nenets Autonomous Okrug,Gubkinsky
Chechen Republic,Gudermes
Rostov Oblast,Gukovo
Krasnodar Krai,Gulkevichi
Kaliningrad Oblast,Guryevsk
Kemerovo Oblast,Guryevsk
Vladimir Oblast,Gus-Khrustalny
Kaliningrad Oblast,Gusev
Republic of Buryatia,Gusinoozyorsk
Kaliningrad Oblast,Gvardeysk
Krasnoyarsk Krai,Igarka
Krasnoyarsk Krai,Ilansky
Republic of Tatarstan,Innopolis
Republic of Mordovia,Insar
Komi Republic,Inta
Ulyanovsk Oblast,Inza
Stavropol Krai,Ipatovo
Sverdlovsk Oblast,Irbit
Irkutsk Oblast,Irkutsk
Tyumen Oblast,Ishim
Republic of Bashkortostan,Ishimbay
Omsk Oblast,Isilkul
Novosibirsk Oblast,Iskitim
Moscow Oblast,Istra
Leningrad Oblast,Ivangorod
Ivanovo Oblast,Ivanovo
Moscow Oblast,Ivanteyevka
Sverdlovsk Oblast,Ivdel
Dagestan,Izberbash
Udmurtia,Izhevsk
Stavropol Krai,Izobilny
Sverdlovsk Oblast,Kachkanar
Vologda Oblast,Kadnikov
Voronezh Oblast,Kalach
Volgograd Oblast,Kalach-na-Donu
Omsk Oblast,Kalachinsk
Kaliningrad Oblast,Kaliningrad
Saratov Oblast,Kalininsk
Kemerovo Oblast,Kaltan
Kaluga Oblast,Kaluga
Tver Oblast,Kalyazin
Udmurtia,Kambarka
Penza Oblast,Kamenka
Altai Krai,Kamen-na-Obi
Leningrad Oblast,Kamennogorsk
Rostov Oblast,Kamensk-Shakhtinsky
Sverdlovsk Oblast,Kamensk-Uralsky
Vladimir Oblast,Kameshkovo
Volgograd Oblast,Kamyshin
Sverdlovsk Oblast,Kamyshlov
Astrakhan Oblast,Kamyzyak
Chuvash Republic,Kanash
Murmansk Oblast,Kandalaksha
Krasnoyarsk Krai,Kansk
Vladimir Oblast,Karabanovo
Chelyabinsk Oblast,Karabash
Ingushetia,Karabulak
Karachay-Cherkessia,Karachayevsk
Bryansk Oblast,Karachev
Novosibirsk Oblast,Karasuk
Novosibirsk Oblast,Kargat
Arkhangelsk Oblast,Kargopol
Sverdlovsk Oblast,Karpinsk
Chelyabinsk Oblast,Kartaly
Tver Oblast,Kashin
Moscow Oblast,Kashira
Ryazan Oblast,Kasimov
Chelyabinsk Oblast,Kasli
Dagestan,Kaspiysk
Chelyabinsk Oblast,Katav-Ivanovsk
Kurgan Oblast,Kataysk
Republic of Tatarstan,Kazan
Tomsk Oblast,Kedrovy
Karelia,Kem
Kemerovo Oblast,Kemerovo
Khabarovsk Krai,Khabarovsk
Krasnodar Krai,Khadyzhensk
Khanty-Mansi Autonomous Okrug,Khanty-Mansiysk
Astrakhan Oblast,Kharabali
Vologda Oblast,Kharovsk
Dagestan,Khasavyurt
Zabaykalsky Krai,Khilok
Moscow Oblast,Khimki
Novgorod Oblast,Kholm
Sakhalin Oblast,Kholmsk
Moscow Oblast,Khotkovo
Saratov Oblast,Khvalynsk
Tula Oblast,Kimovsk
Tver Oblast,Kimry
Samara Oblast,Kinel
Ivanovo Oblast,Kineshma
Leningrad Oblast,Kingisepp
Irkutsk Oblast,Kirensk
Tula Oblast,Kireyevsk
Vologda Oblast,Kirillov
Leningrad Oblast,Kirishi
Kaluga Oblast,Kirov
Kirov Oblast,Kirov
Sverdlovsk Oblast,Kirovgrad
Kirov Oblast,Kirovo-Chepetsk
Leningrad Oblast,Kirovsk
Murmansk Oblast,Kirovsk
Kirov Oblast,Kirs
Tambov Oblast,Kirsanov
Vladimir Oblast,Kirzhach
Kemerovo Oblast,Kiselyovsk
Stavropol Krai,Kislovodsk
Perm Krai,Kizel
Dagestan,Kizilyurt
Dagestan,Kizlyar
Moscow Oblast,Klimovsk
Moscow Oblast,Klin
Bryansk Oblast,Klintsy
Nizhny Novgorod Oblast,Knyaginino
Krasnoyarsk Krai,Kodinsk
Khanty-Mansi Autonomous Okrug,Kogalym
Ivanovo Oblast,Kokhma
Murmansk Oblast,Kola
Vladimir Oblast,Kolchugino
Kostroma Oblast,Kologriv
Moscow Oblast,Kolomna
Tomsk Oblast,Kolpashevo
Saint Petersburg,Kolpino
Leningrad Oblast,Kommunar
Ivanovo Oblast,Komsomolsk
Khabarovsk Krai,Komsomolsk-on-Amur
Tver Oblast,Konakovo
Karelia,Kondopoga
Kaluga Oblast,Kondrovo
Rostov Oblast,Konstantinovsk
Chelyabinsk Oblast,Kopeysk
Ryazan Oblast,Korablino
Krasnodar Krai,Korenovsk
Chelyabinsk Oblast,Korkino
Belgorod Oblast,Korocha
Moscow Oblast,Korolyov
Sakhalin Oblast,Korsakov
Arkhangelsk Oblast,Koryazhma
Vladimir Oblast,Kosteryovo
Karelia,Kostomuksha
Kostroma Oblast,Kostroma
Kirov Oblast,Kotelnich
Moscow Oblast,Kotelniki
Volgograd Oblast,Kotelnikovo
Arkhangelsk Oblast,Kotlas
Volgograd Oblast,Kotovo
Tambov Oblast,Kotovsk
Murmansk Oblast,Kovdor
Vladimir Oblast,Kovrov
Republic of Mordovia,Kovylkino
Kaluga Oblast,Kozelsk
Chuvash Republic,Kozlovka
Mari El,Kozmodemyansk
Vologda Oblast,Krasavino
Moscow Oblast,Krasnoarmeysk
Saratov Oblast,Krasnoarmeysk
Krasnodar Krai,Krasnodar
Moscow Oblast,Krasnogorsk
Zabaykalsky Krai,Krasnokamensk
Perm Krai,Krasnokamsk
Volgograd Oblast,Krasnoslobodsk
Republic of Mordovia,Krasnoslobodsk
